AÑO;MES;N° MES;N° DIA;TIPO DIA;DIA;FECHA;HORA;Gran Usuario MEM;DISTRIBUIDOR (demanda estacional+GUMEs);DEMANDA LOCAL [MWh];BUENOS AIRES;CATAMARCA;CHACO;CHUBUT;CORDOBA;CORRIENTES;ENTRE RIOS;FORMOSA;JUJUY;LA PAMPA;LA RIOJA;MENDOZA;MISIONES;NEUQUEN;RIO NEGRO;SALTA;SAN JUAN;SAN LUIS;SANTA CRUZ;SANTA FE;SGO.DEL ESTERO;TUCUMAN
2022;ene-22;1;1;No Hábil;Sábado;1/1/2022;1;1.266,46;14.627,63;15.894,08;7.599,76;150,29;464,32;422,04;1.175,47;449,83;512,50;233,80;148,61;111,13;172,13;670,47;353,22;229,30;222,13;304,77;263,73;183,49;119,24;1.416,29;267,69;423,88
2022;ene-22;1;1;No Hábil;Sábado;1/1/2022;2;1.264,15;14.702,74;15.966,89;7.591,29;153,44;490,00;402,32;1.183,88;463,48;528,20;240,17;145,82;99,23;177,94;669,20;365,76;220,90;214,24;299,58;262,04;179,65;117,52;1.446,56;285,63;430,04
2022;ene-22;1;1;No Hábil;Sábado;1/1/2022;3;1.295,91;14.950,08;16.246,00;7.620,86;162,35;523,35;418,11;1.208,95;479,94;555,71;249,00;143,51;106,24;185,91;659,62;374,39;216,26;205,95;296,18;267,70;176,93;116,24;1.522,40;313,19;443,20
2022;ene-22;1;1;No Hábil;Sábado;1/1/2022;4;1.294,95;15.019,81;16.314,76;7.564,48;169,72;536,70;404,88;1.217,33;488,90;572,64;249,81;142,31;102,07;193,44;657,69;367,99;208,11;196,83;291,18;277,83;173,15;113,59;1.590,59;337,67;457,84
2022;ene-22;1;1;No Hábil;Sábado;1/1/2022;5;1.291,20;14.813,75;16.104,95;7.383,98;171,75;537,32;394,58;1.211,88;488,01;575,28;247,67;137,78;98,69;199,32;648,01;363,40;189,02;190,73;284,07;284,80;172,80;111,94;1.596,04;356,07;461,85
2022;ene-22;1;1;No Hábil;Sábado;1/1/2022;6;1.297,97;14.377,10;15.675,07;7.115,19;170,01;524,26;379,37;1.193,50;477,33;560,34;241,76;133,34;93,78;201,48;633,81;346,20;197,39;183,85;276,41;286,59;168,85;104,29;1.566,23;363,40;457,67
2022;ene-22;1;1;No Hábil;Sábado;1/1/2022;7;1.250,62;13.265,29;14.515,90;6.590,82;161,85;489,28;320,28;1.101,72;453,62;522,25;227,75;123,33;79,49;195,71;590,00;317,90;176,48;160,40;253,15;272,19;159,23;97,23;1.440,11;351,43;431,69
2022;ene-22;1;1;No Hábil;Sábado;1/1/2022;8;1.247,97;12.769,31;14.017,28;6.294,63;158,94;489,47;311,10;1.061,13;451,07;515,49;229,23;116,13;77,84;191,09;558,18;325,51;179,77;155,24;234,23;254,90;150,06;96,68;1.414,57;340,04;411,99
2022;ene-22;1;1;No Hábil;Sábado;1/1/2022;9;1.265,25;12.783,33;14.048,57;6.169,48;167,00;509,55;316,05;1.099,81;478,17;527,68;239,65;120,69;76,60;195,37;563,83;343,07;170,06;158,56;241,11;264,76;150,38;97,33;1.392,89;343,02;423,51
2022;ene-22;1;1;No Hábil;Sábado;1/1/2022;10;1.250,55;12.905,96;14.156,50;6.084,95;171,69;534,88;316,42;1.148,60;497,46;543,27;250,05;130,17;81,38;197,66;569,32;360,71;174,30;165,64;256,40;261,98;151,31;98,74;1.368,05;352,11;441,42
